epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,7093.24,0.84429,0.52053,0.95587,0.96782,0.92707,0.95627,0.70895,0.85631,0.46759,0.97371,0.000144161,0.000144161,0.000144161
78,7183.5,0.82609,0.52617,0.94402,0.97615,0.92463,0.95637,0.71046,0.84827,0.462,0.96995,0.000133695,0.000133695,0.000133695
79,7275.8,0.82812,0.51495,0.95213,0.97766,0.92165,0.95323,0.70993,0.84451,0.45811,0.97062,0.000123596,0.000123596,0.000123596
80,7369.88,0.79708,0.49271,0.94913,0.97566,0.92019,0.95526,0.70279,0.85305,0.46394,0.97517,0.000113873,0.000113873,0.000113873
81,7460.03,0.83332,0.53427,0.95821,0.9802,0.92393,0.9564,0.71313,0.83932,0.45092,0.9725,0.000104537,0.000104537,0.000104537
82,7551.72,0.82029,0.52024,0.95296,0.97555,0.92263,0.95503,0.71054,0.84886,0.45956,0.97411,9.55951e-05,9.55951e-05,9.55951e-05
83,7644.3,0.81907,0.50872,0.94151,0.97775,0.92558,0.95906,0.71429,0.84505,0.45139,0.97017,8.70577e-05,8.70577e-05,8.70577e-05
84,7734.43,0.81443,0.50641,0.94857,0.98188,0.92273,0.95953,0.71351,0.84142,0.45177,0.97118,7.89327e-05,7.89327e-05,7.89327e-05
85,7824.12,0.81862,0.50857,0.93893,0.97938,0.92396,0.95682,0.71751,0.84568,0.45173,0.9711,7.12282e-05,7.12282e-05,7.12282e-05
86,7914.56,0.82451,0.51153,0.95811,0.9847,0.92978,0.95922,0.71831,0.83338,0.44915,0.97,6.39518e-05,6.39518e-05,6.39518e-05
87,8004.8,0.79488,0.48967,0.94447,0.98054,0.92576,0.95779,0.71966,0.83644,0.44615,0.97064,5.71106e-05,5.71106e-05,5.71106e-05
88,8094.57,0.78534,0.49331,0.9355,0.97956,0.92041,0.95372,0.71899,0.83974,0.45055,0.97057,5.07115e-05,5.07115e-05,5.07115e-05
89,8187.31,0.82134,0.5056,0.95607,0.98063,0.92155,0.95548,0.72113,0.83591,0.448,0.96899,4.47606e-05,4.47606e-05,4.47606e-05
90,8277.5,0.78173,0.49331,0.93956,0.97693,0.92924,0.957,0.72267,0.83231,0.44674,0.96941,3.9264e-05,3.9264e-05,3.9264e-05
91,8371.25,0.72887,0.41958,0.90335,0.98143,0.92976,0.95637,0.71704,0.83469,0.44748,0.97122,3.4227e-05,3.4227e-05,3.4227e-05
92,8465.68,0.74196,0.43109,0.91836,0.98166,0.92812,0.95641,0.71755,0.83344,0.44741,0.97143,2.96546e-05,2.96546e-05,2.96546e-05
93,8560.28,0.74116,0.42537,0.91963,0.98024,0.92462,0.95641,0.71967,0.831,0.44406,0.97043,2.55513e-05,2.55513e-05,2.55513e-05
94,8652.59,0.72376,0.42405,0.90749,0.98162,0.92825,0.95623,0.71825,0.8345,0.44684,0.97239,2.19212e-05,2.19212e-05,2.19212e-05
95,8741.94,0.73931,0.42886,0.90818,0.98332,0.93118,0.95922,0.72237,0.82862,0.44379,0.96971,1.87678e-05,1.87678e-05,1.87678e-05
96,8829.85,0.72959,0.43315,0.90584,0.98137,0.92774,0.9564,0.72136,0.82454,0.44474,0.96887,1.60943e-05,1.60943e-05,1.60943e-05
97,8920.14,0.73446,0.42331,0.90161,0.98189,0.92977,0.95879,0.72455,0.82817,0.44448,0.96933,1.39032e-05,1.39032e-05,1.39032e-05
98,9011.42,0.72314,0.42024,0.90652,0.98235,0.92229,0.95865,0.72457,0.82502,0.44724,0.9683,1.21968e-05,1.21968e-05,1.21968e-05
99,9099.43,0.73367,0.42776,0.90142,0.98172,0.9261,0.95907,0.72231,0.82956,0.44602,0.96898,1.09768e-05,1.09768e-05,1.09768e-05
100,9187.61,0.74924,0.41641,0.90313,0.98007,0.92744,0.95896,0.7242,0.8274,0.44525,0.96831,1.02443e-05,1.02443e-05,1.02443e-05
